,ECMWF,NASA,METEOF,GFDL_SPEAR,DWD,colaCCSM4,CMCC,canSipsIC4,NCEP,ECCC
ECMWF,1.0,0.676,0.691,0.718,0.378,0.605,0.683,0.513,0.021,-0.019
NASA,0.676,1.0,0.874,0.888,0.48,0.754,0.823,0.584,0.017,-0.056
METEOF,0.691,0.874,1.0,0.86,0.507,0.749,0.87,0.669,-0.023,-0.069
GFDL_SPEAR,0.718,0.888,0.86,1.0,0.477,0.711,0.866,0.613,-0.014,-0.062
DWD,0.378,0.48,0.507,0.477,1.0,0.455,0.485,0.344,0.032,0.007
colaCCSM4,0.605,0.754,0.749,0.711,0.455,1.0,0.901,0.85,0.013,-0.03
CMCC,0.683,0.823,0.87,0.866,0.485,0.901,1.0,0.869,-0.012,-0.044
canSipsIC4,0.513,0.584,0.669,0.613,0.344,0.85,0.869,1.0,-0.091,-0.058
NCEP,0.021,0.017,-0.023,-0.014,0.032,0.013,-0.012,-0.091,1.0,0.834
ECCC,-0.019,-0.056,-0.069,-0.062,0.007,-0.03,-0.044,-0.058,0.834,1.0
