,ECMWF,NASA,METEOF,GFDL_SPEAR,DWD,colaCCSM4,CMCC,canSipsIC4,NCEP,ECCC
ECMWF,1.0,0.892,0.891,0.949,0.94,0.92,0.936,0.958,0.699,0.226
NASA,0.892,1.0,0.949,0.928,0.862,0.872,0.92,0.873,0.604,0.142
METEOF,0.891,0.949,1.0,0.913,0.873,0.84,0.913,0.892,0.582,0.146
GFDL_SPEAR,0.949,0.928,0.913,1.0,0.94,0.889,0.94,0.927,0.672,0.131
DWD,0.94,0.862,0.873,0.94,1.0,0.863,0.92,0.94,0.713,0.167
colaCCSM4,0.92,0.872,0.84,0.889,0.863,1.0,0.921,0.91,0.559,0.179
CMCC,0.936,0.92,0.913,0.94,0.92,0.921,1.0,0.917,0.68,0.231
canSipsIC4,0.958,0.873,0.892,0.927,0.94,0.91,0.917,1.0,0.615,0.183
NCEP,0.699,0.604,0.582,0.672,0.713,0.559,0.68,0.615,1.0,0.396
ECCC,0.226,0.142,0.146,0.131,0.167,0.179,0.231,0.183,0.396,1.0
